,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
1156,SBI Magnum Children's Benefit Fund-Savings Plan, Solution Oriented - Children's Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,0,78.27,2.48,10.77,7.49,5000.0,1.17,"1,000.00"
1157,SBI Magnum Comma Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY COMMODITIES - TRI,0,37.11,-10.97,19.20,9.42,5000.0,2.57,"1,000.00"
1158,SBI Magnum Comma Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY COMMODITIES - TRI,0,65.38,-10.97,19.20,9.42,5000.0,2.57,"1,000.00"
1159,SBI Magnum Equity ESG Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,0,51.73,1.01,12.89,11.63,1000.0,1.96,"1,000.00"
1160,SBI Magnum Equity ESG Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,0,165.41,1.01,12.89,11.63,1000.0,1.96,"1,000.00"
1161,SBI Magnum Global Fund-Reg(IDCW), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI,0,86.63,2.69,15.32,10.01,5000.0,1.92,"1,000.00"
1162,SBI Magnum Global Fund-Reg(G), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI,0,283.56,2.69,15.32,10.01,5000.0,1.92,"1,000.00"
1163,SBI Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,0,1145.37,4.94,3.68,3.87,5000.0,Nil,N/A
1164,SBI Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,0,3581.53,4.95,3.72,4.57,5000.0,0.18,"2,000.00"
1165,SBI Multi Asset Allocation Fund-Reg(A-IDCW), Hybrid - Multi Asset Allocation, Open ended, N/A,0,21.95,3.85,9.72,7.89,5000.0,1.78,"1,000.00"
1166,SBI Multi Asset Allocation Fund-Reg(M-IDCW), Hybrid - Multi Asset Allocation, Open ended, N/A,0,17.36,3.85,9.68,7.97,5000.0,1.78,"1,000.00"
1167,SBI Multi Asset Allocation Fund-Reg(Q-IDCW), Hybrid - Multi Asset Allocation, Open ended, N/A,0,17.34,3.85,9.72,7.93,5000.0,1.78,"1,000.00"
1168,SBI Multi Asset Allocation Fund-Reg(G), Hybrid - Multi Asset Allocation, Open ended, N/A,0,38.82,3.85,9.72,8.49,5000.0,1.78,"1,000.00"
1169,SBI Consumption Opp Fund-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,123.84,14.71,19.13,11.62,5000.0,2.22,"1,000.00"
1170,SBI Technology Opp Fund-Reg(IDCW), Equity - Sectoral Fund - Technology, Open ended, S&P BSE TECk Index - TRI,0,90.46,0.29,27.54,21.97,5000.0,1.97,"1,000.00"
1171,SBI Healthcare Opp Fund-Reg(IDCW), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,0,138.17,-0.51,18.09,11.49,5000.0,2.12,"1,000.00"
1172,SBI Healthcare Opp Fund-Reg(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,0,219.34,-0.51,18.09,11.49,5000.0,2.12,"1,000.00"
1173,IDFC All Seasons Bond Fund-Reg(A-IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Medium Duration Debt Index,0,14.17,3.30,4.76,5.86,1000.0,0.51,"1,000.00"
1174,IDFC All Seasons Bond Fund-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Medium Duration Debt Index,0,36.69,3.30,5.14,6.74,1000.0,0.51,"1,000.00"
1175,IDFC All Seasons Bond Fund-Reg(H-IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Medium Duration Debt Index,0,12.56,3.30,4.80,5.76,1000.0,0.51,"1,000.00"
1176,IDFC All Seasons Bond Fund-Reg(Q-IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Medium Duration Debt Index,0,12.55,3.30,5.02,5.84,1000.0,0.51,"1,000.00"
1177,Sundaram Infra Advantage Fund(G), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE 100 - TRI,0,52.98,5.42,16.69,7.45,1000.0,2.59,"1,000.00"
1178,Sundaram Global Brand Fund(IDCW), FoFs (Overseas), Open ended, MSCI AC World Index,0,21.05,-1.21,9.47,7.58,1000.0,2.32,N/A
1179,Sundaram Global Brand Fund(G), FoFs (Overseas), Open ended, MSCI AC World Index,0,24.56,-1.21,9.49,7.59,1000.0,2.32,N/A
1180,Sundaram Consumption Fund(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,21.56,8.76,10.98,7.18,1000.0,2.31,"1,000.00"
1181,Sundaram Consumption Fund(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,0,61.25,8.76,11.07,7.64,1000.0,2.31,"1,000.00"
1182,Tata NIFTY 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0,110.52,4.57,14.58,11.91,5000.0,0.52,"1,000.00"
1183,Tata S&P BSE Sensex Index Fund-Reg(G), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI,0,151.54,6.09,14.17,12.63,5000.0,0.58,"1,000.00"
1184,Tata Infrastructure Fund-Reg(IDCW), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,47.42,9.98,21.00,10.48,5000.0,2.32,"1,000.00"
1185,Tata Infrastructure Fund-Reg(G), Equity - Sectoral Fund - Infrastructure , Open ended, S&P BSE India Infrastructure Index - TRI,0,100.03,10.05,21.02,10.50,5000.0,2.32,"1,000.00"
1186,Tata Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,0,42.65,3.59,7.42,6.53,5000.0,0.78,"1,000.00"
1187,Tata Equity Savings Fund-Reg(M-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,0,14.99,3.57,7.13,6.03,5000.0,0.78,"1,000.00"
1188,Tata Equity Savings Fund-Reg(P-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,0,20.43,3.55,7.41,6.51,5000.0,0.78,"1,000.00"
1189,Tata Ethical Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, Nifty500 Shariah - TRI,0,114.75,-0.06,17.94,11.51,5000.0,1.92,"1,000.00"
1190,Tata Ethical Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, Nifty500 Shariah - TRI,0,281.51,-0.00,18.00,11.76,5000.0,1.92,"1,000.00"
1191,Tata Young Citizen Fund, Solution Oriented - Children's Fund, Open ended, NIFTY 500 - TRI,0,42.27,4.56,16.67,9.78,1000.0,2.52,"1,000.00"
1192,Taurus Largecap Equity Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,0,101.11,0.11,9.06,6.78,5000.0,2.61,"1,000.00"
1193,Taurus Discovery (Midcap) Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,0,76.21,7.26,16.97,10.80,5000.0,2.56,"1,000.00"
1194,Taurus Infrastructure Fund-Reg(G), Equity - Sectoral Fund - Infrastructure , Open ended, Nifty Infrastructure - TRI,0,39.05,1.92,14.70,7.89,5000.0,2.48,"1,000.00"
1195,Taurus Tax Shield Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI,0,119.78,7.50,12.47,9.40,1000.0,2.44,"1,000.00"
1196,Taurus Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,0,147.92,0.20,9.25,5.15,5000.0,2.64,"1,000.00"
1197,Templeton India Value Fund(IDCW), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,0,75.78,10.50,23.07,10.01,5000.0,2.68,"1,000.00"
1198,Templeton India Value Fund(G), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,0,447.76,10.50,23.07,10.48,5000.0,2.68,"1,000.00"
1199,Franklin India Floating Rate Fund(IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,0,10.12,6.15,4.35,4.02,1000.0,0.97,"1,000.00"
1200,Franklin India Floating Rate Fund(G), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,0,33.82,6.12,4.44,4.31,1000.0,0.97,"1,000.00"
