,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
678,JM Liquid Fund(Q-IDCW), Debt - Liquid Fund, Open ended, N/A,2,34.26,5.20,4.08,5.20,5000.0,0.25,"1,000.00"
679,Kotak Gilt Fund-Reg(Q-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,15.78,6.07,2.81,4.70,5000.0,1.48,"1,000.00"
680,Kotak Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,80.74,6.07,2.81,5.07,5000.0,1.48,"1,000.00"
681,Kotak Debt Hybrid Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,2,44.71,4.08,9.71,8.59,5000.0,1.8,"1,000.00"
682,Kotak Debt Hybrid Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,2,12.09,4.08,9.65,7.38,5000.0,1.8,"1,000.00"
683,LIC MF Banking & PSU Debt Fund(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,10.82,4.20,3.36,4.29,5000.0,0.83,"1,000.00"
684,LIC MF Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,29.14,4.20,3.26,4.29,5000.0,0.83,"1,000.00"
685,LIC MF Banking & PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,10.91,4.20,3.26,4.24,5000.0,0.83,"1,000.00"
686,LIC MF Banking & PSU Debt Fund(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,2,10.05,4.20,3.26,4.27,5000.0,0.83,"1,000.00"
687,HDFC Large and Mid Cap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,199.4,7.34,19.37,12.22,1000.0,2.09,"1,000.00"
688,Nippon India Multi Cap Fund(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,2,45.7,13.91,18.52,11.44,1000.0,1.82,"1,000.00"
689,Nippon India Multi Cap Fund(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,2,166.5,13.91,18.52,11.67,1000.0,1.82,"1,000.00"
690,Nippon India Vision Fund(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,45.3,4.36,14.74,6.92,5000.0,2.08,"1,000.00"
691,Nippon India Vision Fund(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,842.37,4.36,14.74,7.38,5000.0,2.08,"1,000.00"
692,SBI Magnum Constant Maturity Fund-Reg(IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, Nifty 10 yr Benchmark G-Sec,2,16.98,5.75,2.46,4.27,5000.0,0.63,"1,000.00"
693,SBI Magnum Constant Maturity Fund-Reg(G), Debt - Gilt Fund with 10 year constant duration, Open ended, Nifty 10 yr Benchmark G-Sec,2,52.2,5.75,2.46,4.30,5000.0,0.63,"1,000.00"
694,SBI Magnum Income Fund-Reg(IDCW), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,2,15.41,6.08,3.49,5.30,5000.0,1.46,"1,000.00"
695,SBI Credit Risk Fund-Reg(IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,2,16.98,5.52,4.30,5.87,5000.0,1.55,"1,000.00"
696,SBI Credit Risk Fund-Reg(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,2,37.56,5.52,4.30,5.87,5000.0,1.55,"1,000.00"
697,SBI Magnum Income Fund-Reg(G), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,2,58.9,6.08,3.49,5.30,5000.0,1.46,"1,000.00"
698,SBI Magnum Medium Duration Fund-Reg(IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,2,16.49,5.75,3.57,5.84,5000.0,1.22,"1,000.00"
699,SBI Magnum Medium Duration Fund-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,2,42.55,5.75,3.57,5.84,5000.0,1.22,"1,000.00"
700,IDFC Core Equity Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,19.77,7.14,15.31,9.69,1000.0,2.03,"1,000.00"
701,IDFC Core Equity Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,74.05,7.16,15.73,10.09,1000.0,2.03,"1,000.00"
702,IDFC Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,2,17.74,-1.67,11.48,9.11,1000.0,2.19,"1,000.00"
703,IDFC Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,2,49.25,-1.66,11.90,9.50,1000.0,2.19,"1,000.00"
704,IDFC Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,2,39.95,-0.03,10.32,7.29,1000.0,1.9,"1,000.00"
705,IDFC Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,2,136.79,-0.03,10.61,7.60,1000.0,1.9,"1,000.00"
706,Sundaram Mid Cap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 100 - TRI,2,42.33,5.97,13.42,6.72,1000.0,1.87,"1,000.00"
707,Sundaram Mid Cap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 100 - TRI,2,735.5,6.01,13.49,7.07,1000.0,1.87,"1,000.00"
708,Tata Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,2,82.25,7.00,13.33,8.80,5000.0,1.96,"1,000.00"
709,Tata Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,2,321.84,6.62,13.60,9.15,5000.0,1.96,"1,000.00"
710,Tata Equity P/E Fund(Div Trig Opt B-10%), Equity - Value Fund, Open ended, NIFTY 500 - TRI,2,79.13,6.85,14.58,8.24,5000.0,1.77,"1,000.00"
711,Tata Equity P/E Fund(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,2,208.41,6.90,14.63,8.29,5000.0,1.77,"1,000.00"
712,Tata Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,2,1001.52,5.13,4.05,4.40,5000.0,0.32,"1,000.00"
713,Tata Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,2,3489.4,5.14,4.15,5.24,5000.0,0.32,"1,000.00"
714,Franklin India Savings Fund(Q-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2,10.48,5.78,4.77,4.19,10000.0,0.28,"1,000.00"
715,Franklin India Savings Fund(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2,42.1,5.78,4.77,4.66,10000.0,0.28,"1,000.00"
716,UTI Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,2,264.55,6.44,16.26,9.06,1000.0,1.99,"1,000.00"
717,UTI Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,2,33.22,6.44,16.23,8.64,5000.0,1.99,"1,000.00"
718,UTI Gilt Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,2,32.45,6.36,3.84,4.45,20000.0,0.94,"1,000.00"
719,UTI Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,2,52.31,6.36,3.84,4.45,1000.0,0.94,"1,000.00"
720,Sundaram Ultra Short Duration Fund(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,2,2318.32,4.95,4.02,3.45,1000.0,1.43,"1,000.00"
721,Sundaram Ultra Short Duration Fund(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,2,1005.43,4.95,4.02,3.39,1000.0,1.43,"1,000.00"
722,Sundaram Ultra Short Duration Fund(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,2,1020.11,4.95,4.02,9.21,1000.0,1.43,"1,000.00"
723,Sundaram Ultra Short Duration Fund(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,2,1064.82,4.95,4.02,3.38,1000.0,1.43,"1,000.00"
724,HDFC Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,2,80.57,9.89,26.33,11.56,1000.0,1.93,"1,000.00"
725,HDFC Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,2,34.58,9.90,26.33,11.29,1000.0,1.93,"1,000.00"
726,Aditya Birla SL Tax Relief '96(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,39.99,-0.65,6.16,5.08,1000.0,1.78,"1,000.00"
727,PGIM India Gilt Fund(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,2,25.21,3.47,2.46,3.91,5000.0,1.46,"1,000.00"
728,PGIM India Gilt Fund(Q-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,2,13.83,3.47,2.46,3.74,5000.0,1.46,"1,000.00"
729,IDFC Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,2,28.34,3.48,1.01,4.32,1000.0,1.62,"1,000.00"
730,IDFC Dynamic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,2,10.83,3.48,1.01,2.34,1000.0,1.62,"1,000.00"
731,HDFC Large and Mid Cap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,26.58,7.35,18.81,11.63,1000.0,2.09,"1,000.00"
732,Tata Equity P/E Fund(Div Trig Opt A-5%), Equity - Value Fund, Open ended, NIFTY 500 - TRI,2,84.61,5.53,14.11,7.99,5000.0,1.77,"1,000.00"
733,Axis Strategic Bond Fund-Reg(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,2,23.1,5.25,3.95,5.91,5000.0,1.08,"1,000.00"
734,Axis Strategic Bond Fund-Reg(Q-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,2,10.14,5.25,3.95,5.68,5000.0,1.08,"1,000.00"
735,Axis Strategic Bond Fund-Reg(H-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,2,10.8,5.25,3.95,5.64,5000.0,1.08,"1,000.00"
736,DSP Focus Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,2,33.29,-0.14,8.48,7.72,1000.0,2.14,"1,000.00"
737,DSP Focus Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,2,15.8,-0.14,8.48,7.57,1000.0,2.14,"1,000.00"
738,Kotak Credit Risk Fund(G), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,2,24.68,3.21,0.46,3.67,5000.0,1.71,"1,000.00"
739,Kotak Credit Risk Fund(IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,2,10.73,3.21,0.46,2.81,5000.0,1.71,"1,000.00"
740,IDFC Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,2,11.27,3.48,1.01,4.07,1000.0,1.62,"1,000.00"
741,ICICI Pru Regular Savings Fund(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,2,11.37,4.71,8.09,7.37,5000.0,1.74,"1,000.00"
742,Axis Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,2,24.54,5.39,2.48,5.09,5000.0,0.66,"1,000.00"
743,Axis Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,2,10.23,5.39,2.48,4.91,5000.0,0.66,"1,000.00"
744,Tata Hybrid Equity Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,2,72.86,6.62,13.42,8.57,5000.0,1.96,"1,000.00"
745,ICICI Pru Medium Term Bond Fund(Q-IDCW), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,2,10.61,5.53,4.42,6.08,5000.0,1.41,"1,000.00"
746,Axis Dynamic Bond Fund-Reg(H-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,2,10.62,5.40,2.48,4.65,5000.0,0.66,"1,000.00"
747,HDFC Gold Fund(G), FoFs (Domestic / Overseas ) - Gold, Open ended, Gold-India,2,17.49,11.82,10.02,11.48,1000.0,0.65,"1,000.00"
748,Axis Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,20.97,4.07,2.53,5.08,5000.0,0.99,"1,000.00"
749,Axis Gilt Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,10.03,4.07,2.53,3.96,5000.0,0.99,"1,000.00"
750,Axis Gilt Fund-Reg(H-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,10.26,4.07,2.53,4.65,5000.0,0.99,"1,000.00"
751,IIFL Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,2,1710.99,5.11,3.78,4.78,5000.0,0.25,"1,000.00"
752,IIFL Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,2,1000.07,5.11,3.72,4.03,5000.0,0.25,"1,000.00"
753,HSBC Short Duration Fund-Reg(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,2,22.2,4.57,2.81,4.74,5000.0,0.75,"1,000.00"
754,HSBC Short Duration Fund-Reg(IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,2,11.07,4.57,2.81,4.63,5000.0,0.75,"1,000.00"
755,UTI Core Equity Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,102.73,5.56,18.39,9.56,5000.0,2.51,"1,000.00"
756,UTI Core Equity Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,2,50.05,5.56,18.39,9.56,5000.0,2.51,"1,000.00"
757,Franklin India Savings Fund(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,2,10.05,5.78,4.77,4.38,10000.0,0.28,"1,000.00"
758,Edelweiss Government Securities Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,20.44,4.92,2.90,6.15,5000.0,1.34,"1,000.00"
759,HSBC Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,2,48.12,7.04,26.72,11.35,5000.0,1.85,"1,000.00"
760,IIFL Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, N/A,2,1005.34,5.05,3.68,4.01,5000.0,0.25,"1,000.00"
761,Edelweiss Government Securities Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,20.45,4.93,2.90,6.15,5000.0,1.34,"1,000.00"
762,Edelweiss Government Securities Fund-Reg(M-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,2,10.41,4.92,2.90,5.79,5000.0,1.34,"1,000.00"
763,HSBC Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,2,31.36,6.99,26.73,10.96,5000.0,1.85,"1,000.00"
764,Axis Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,2,15.86,4.47,4.04,4.80,1000.0,1.05,"1,000.00"
765,Axis Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,2,10.68,3.98,3.83,4.42,1000.0,1.05,"1,000.00"
766,ICICI Pru Constant Maturity Gilt Fund(G), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,2,20.09,5.73,2.15,4.99,5000.0,0.39,"1,000.00"
767,ICICI Pru Constant Maturity Gilt Fund(Q-IDCW Payout), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,2,10.84,5.73,2.15,4.44,5000.0,0.39,"1,000.00"
768,Motilal Oswal Long Term Equity Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,27.36,3.43,12.00,8.63,1000.0,2.02,"1,000.00"
769,Motilal Oswal Long Term Equity Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,2,20.02,3.43,12.00,8.58,1000.0,2.02,"1,000.00"
770,Edelweiss Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,2,23.52,3.05,14.66,10.36,5000.0,2.21,"1,000.00"
771,Edelweiss Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,2,19.31,3.05,14.66,10.36,5000.0,2.21,"1,000.00"
772,DSP Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,2,16.72,3.77,7.84,6.37,1000.0,1.45,"1,000.00"
773,DSP Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,2,12.56,3.78,7.84,6.25,1000.0,1.45,"1,000.00"
774,Baroda BNP Paribas Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,2,13.62,4.08,4.01,4.87,5000.0,1.1,"1,000.00"
775,Baroda BNP Paribas Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,2,10.84,4.09,3.97,4.59,5000.0,1.1,"1,000.00"
776,IIFL Liquid Fund-Reg(W-IDCW Reinv), Debt - Liquid Fund, Open ended, N/A,2,1005.34,5.05,3.68,4.01,5000.0,0.25,"1,000.00"
777,Baroda BNP Paribas Low Duration Fund(DD-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,10.06,5.27,3.84,4.44,5000.0,1.02,"1,000.00"
778,Baroda BNP Paribas Low Duration Fund(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,34.06,5.27,3.92,4.64,5000.0,1.02,"1,000.00"
779,Baroda BNP Paribas Low Duration Fund(M-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,10.27,5.30,3.60,4.20,5000.0,1.02,"1,000.00"
780,Baroda BNP Paribas Low Duration Fund(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,10.01,5.27,3.85,4.46,5000.0,1.02,"1,000.00"
781,Aditya Birla SL Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,1,38.32,5.09,6.34,6.24,1000.0,1.19,"1,000.00"
782,Aditya Birla SL Dynamic Bond Fund-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY Composite Debt Index,1,10.49,5.09,6.34,6.24,1000.0,1.19,"1,000.00"
783,Aditya Birla SL Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,1,38.89,-1.70,15.54,6.90,1000.0,2.06,"1,000.00"
784,Aditya Birla SL Midcap Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,1,454.38,-1.70,15.86,7.23,1000.0,2.06,"1,000.00"
785,Aditya Birla SL Regular Savings Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,1,15.39,2.96,8.88,5.80,1000.0,1.86,"1,000.00"
786,Aditya Birla SL Regular Savings Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,1,52.86,2.96,8.98,6.70,1000.0,1.86,"1,000.00"
787,Aditya Birla SL Regular Savings Fund(Payment), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,1,52.86,2.96,8.98,6.70,1000.0,1.86,"1,000.00"
788,Aditya Birla SL Low Duration Fund(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,557.19,5.44,4.51,5.01,1000.0,1.22,"1,000.00"
789,Aditya Birla SL Low Duration Fund(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,100.5,5.44,4.48,4.89,1000.0,1.22,"1,000.00"
790,Aditya Birla SL Small Cap Fund(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,1,26.13,-2.31,16.86,3.80,1000.0,2.07,"1,000.00"
791,Aditya Birla SL Small Cap Fund(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,1,51.46,-2.31,16.86,3.94,1000.0,2.07,"1,000.00"
792,HSBC Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,1,56.18,3.69,3.04,3.97,5000.0,1.7,"1,000.00"
793,HSBC Gilt Fund-Reg(Q-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,1,11.11,3.68,3.04,3.78,5000.0,1.7,"1,000.00"
794,DSP Bond Fund-Reg(IDCW), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,1,11.53,4.74,3.08,4.76,1000.0,0.8,"1,000.00"
795,DSP Bond Fund-Reg(G), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,1,67.96,4.74,3.08,4.76,1000.0,0.8,"1,000.00"
796,DSP Bond Fund-Reg(M-IDCW Reinv), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,1,11.03,4.74,3.08,4.61,1000.0,Nil,N/A
797,DSP Top 100 Equity Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,1,21.19,3.89,8.87,7.54,1000.0,2.09,"1,000.00"
798,DSP Top 100 Equity Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,1,295.96,3.89,8.87,8.12,1000.0,2.09,"1,000.00"
799,PGIM India Short Duration Fund(G), Debt - Short Duration Fund, Open ended, N/A,1,37.86,4.84,3.46,4.49,5000.0,1.29,"1,000.00"
800,PGIM India Short Duration Fund(M-IDCW), Debt - Short Duration Fund, Open ended, N/A,1,11.52,4.84,3.46,4.40,5000.0,1.29,"1,000.00"
801,HSBC ELSS Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,1,24.06,1.54,11.86,6.78,1000.0,1.98,"1,000.00"
802,HSBC ELSS Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,1,79.98,1.52,11.87,7.07,1000.0,1.98,"1,000.00"
803,ICICI Pru Long Term Bond Fund(G), Debt - Long Duration Fund, Open ended, NIFTY Long Duration Debt Index,1,73.75,5.79,2.11,3.22,5000.0,2,"1,000.00"
804,ICICI Pru Long Term Bond Fund(Q-IDCW), Debt - Long Duration Fund, Open ended, NIFTY Long Duration Debt Index,1,12.24,5.78,2.11,3.13,5000.0,2,"1,000.00"
805,JM Medium to Long Duration Fund-Reg(Q-IDCW), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,1,17.61,3.71,1.13,3.57,5000.0,1.03,"1,000.00"
806,JM Medium to Long Duration Fund-Reg(G), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,1,51.8,3.71,1.13,3.57,5000.0,1.03,"1,000.00"
807,JM Medium to Long Duration Fund-Reg(B), Debt - Medium to Long Duration Fund, Open ended, CRISIL Medium to Long Term Debt Index,1,21.19,3.71,1.13,3.57,5000.0,Nil,N/A
808,JM Low Duration Fund(DD-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,10.82,5.17,4.34,10.71,5000.0,0.79,"1,000.00"
809,JM Low Duration Fund(FN-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,11.08,5.17,4.34,10.70,5000.0,0.79,"1,000.00"
810,JM Low Duration Fund(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,31.38,5.17,4.34,10.69,5000.0,0.79,"1,000.00"
811,JM Low Duration Fund(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,11.41,5.17,4.34,10.68,5000.0,0.79,"1,000.00"
812,LIC MF Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, N/A,1,1000.1,5.09,4.05,4.38,5000.0,0.3,"1,000.00"
813,LIC MF Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, N/A,1,4005.68,5.12,4.13,5.20,5000.0,0.3,"1,000.00"
814,LIC MF Savings Fund(M-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,11.59,5.06,4.07,4.69,5000.0,0.83,"1,000.00"
815,LIC MF Savings Fund(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1,33.61,5.06,4.07,4.75,5000.0,0.83,"1,000.00"
816,Sundaram Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1,1000.89,5.20,3.92,2.92,1000.0,0.28,"1,000.00"
817,Sundaram Liquid Fund(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1,1955.19,5.21,3.98,3.18,1000.0,0.28,"1,000.00"
818,Sundaram Liquid Fund(M-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1,1029.48,4.81,3.77,2.82,1000.0,0.28,"1,000.00"
819,Sundaram Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1,1007.69,5.21,3.93,2.92,1000.0,0.28,"1,000.00"
820,Sundaram Low Duration Fund(DD-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1,1004.22,5.59,4.45,4.10,1000.0,1.28,"1,000.00"
821,Sundaram Low Duration Fund(G), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1,2941.35,5.59,4.46,4.10,1000.0,1.28,"1,000.00"
822,Sundaram Low Duration Fund(M-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1,1090.43,5.59,4.46,4.10,1000.0,1.28,"1,000.00"
823,Sundaram Low Duration Fund(W-IDCW), Debt - Low Duration Fund, Open ended, NIFTY Low Duration Debt Index,1,1004.41,5.59,4.46,4.10,1000.0,1.28,"1,000.00"
824,Sundaram Short Duration Fund(M-IDCW), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,1,12.89,5.36,3.68,5.16,5000.0,0.93,"1,000.00"
825,Sundaram Short Duration Fund(G), Debt - Short Duration Fund, Open ended, Nifty Short Duration Debt Index,1,37.05,5.36,3.68,5.15,5000.0,0.93,"1,000.00"
